,Date,Location / Operator,Aircraft Type / Registration,Fatalities
8,25 Feb 2009,"Amsterdam, NetherlandsTurkish Airlines",Boeing 737-8F2TC-JGE,9/134(0)
9,09 Mar 2009,"Lake Victoria, UgandaAerolift",Ilyushin Il-76TS9-SAB,11/11(0)
10,12 Mar 2009,"Off St. Johns, NewfoundlandCougar Helicopters",Sikorsky S-92AC-GZCH,17/18(0)
11,22 Mar 2009,"Butte, MontanaEagle Cap Leasing",Pilatus PC-12/45N128CM,14/14(0)
12,23 Mar 2009,"Tokyo, JapanFedEx",McDonnell Douglas MD-11N526FE,2/2(0)
13,01 Apr 2009,"Off Crimond, ScotlandBond Offshore Helicopters",Eurocopter AS 332L2 Super Puma 2G-REDL,16/16(0)
14,06 Apr 2009,"Bandung, IndonesiaMilitary - Indonesian Air Force",Fokker F-27 Friendship 400MA-2703,24/24(0)
15,09 Apr 2009,"Near Wamena, IndonesiaAviastar Mandiri",British Aerospace BAe-146-300PK-BRD,6/6(0)
16,29 Apr 2009,"Massamba, Democratic Republic of CongoBako Air",Boeing B-737-200TL-ADM,7/7(0)
17,03 May 2009,"Near El Alto de Rubio, VenezuelaMilitary - Venezuelan Army",Mi-35EV08114,18/18(0)
18,20 May 2009,"Near Madiun, IndonesiaMilitary - Indonesian Air Force",Lockheed C-130 HerculesA-1325,112/112(2)
19,26 May 2009,"Near Isiro, Democratic Republic CongoService Air",Antonov An-269Q-CSA,4/4(?)
20,01 Jun 2009,"Atlantic Ocean, 570 miles northeast of Natal, BrazilAir France",Airbus A330-203F-GZCP,228/228(0)
21,07 Jun 2009,"Near Port Hope Simpson, Newfoundland, CanadaStrait Air",Britten-Norman BN-2A-27 IslanderC-FJJR,1/1(0)
22,08 Jun 2009,"State of Arunachal Pradesh, IndiaMilitary - Indian Air Force",Antonov An-32?,13/13(0)
23,29 Jun 2009,"Near Wamena, IndonesiaAviastar Mandiri",de Havilland Canada DHC-6 Twin Otter 300PK-BRO,3/3(0)
24,30 Jun 2009,"Off Mitsamiouli, ComorosYemenia Airway",Airbus A310-3247O-ADJ,152/153(0)
25,03 Jul 2009,"Near, Peshawar , PakistanMilitary - Pakistan Army",Mil Mi-17?,26/26(0)
26,15 Jul 2009,"Near Qazvin, IranCaspian Airlines",Tupolev 154MEP-CPG,168/168(0)
27,19 Jul 2009,"Kandahar Airport, AfghanistanVertical-T Air",Mil Mi-8?,16/21(0)
28,24 Jul 2009,"Mashad, IranAria Airlines",Ilyushin Il-62MUP-16208,16/153(0)
29,02 Aug 2009,"Ampisibil Village, IndonesiaMerpati Nusantara Airlines",de Havilland Canada DHC-6 Twin Otter 300PK-NVC,16/16(0)
30,04 Aug 2009,"Koh Samui, ThailandBangkok Airlines",ATR-72-212AHS-PGL,1/72(0)
31,08 Aug 2009,"New York, New YorkLiberty Helicopter Sightseeing Tours / Private",Eurocopter AS-350BA / Piper PA-32R-300N401lH / N71MC,9/9(0)
32,11 Aug 2009,"Near Port Moresby, Papua New Guinea Airlines PNG",de Havilland Canada DHC-6 Twin Otter 300P2-MCB,13/13(0)
33,26 Aug 2009,"Nganga Lingolo, CongoAero Fret Business",Antonov An-12BKTN-AIA,7/7(0)
34,08 Sep 2009,"Ugamsk Gorge, South KazakistanMilitary - Kazakhstan border guard service",Mil Mi-8?,10/13(0)
35,24 Sep 2009,"Merebank, South AfricaSA Airlink",British Aerospace Jetstream 41ZS-NRM,1/3(0)
36,25 Sep 2009,"Georgetown, South CarolinaOmniflight Helicopters Inc.",Eurocopter AS350-B2N417AE,3/3(0)
37,17 Oct 2009,"Manila, PhilippinesVictoria Air",Douglas DC-3CRPC550,4/4(0)
38,21 Oct 2009,"Sharjah, United Arab EmiratesAzzi",Boeing 707-330CST-AKW,6/6(0)
39,22 Oct 2009,"Off Bonaire, Netherlands AntillesDivi Divi Air",Britten-Norman BN-2A-8 IslandPJ-SUN,1/10(0)
40,01 Nov 2009,"Off Mongokhto, RussiaMilitary - Russian Navy",Tupolev Tu-142M3RF-76801,11/11(0)
41,01 Nov 2009,"Mirny, RussiaRussian Ministry of Interior",Ilyushin Il-76RF-76801,11/11(0)
42,12 Nov 2009,"Kigali, RwandaRwandair",Canadair CRJ-100ER5Y-JLD,1/15(0)
43,14 Nov 2009,"Near Reno, NevadaMountain Lifeflight",Aerospatiale AS350N5793P,3/3(0)
44,28 Nov 2009,"Shanghai, ChinaAvient Aviation",McDonnell Douglas MD-11FZ-BAV,3/7(0)
45,29 Nov 2009,"Lyall Harbour, BC, CanadaSeair Seaplanes",de Havilland Canada DHC-2 Beaver MK- 1C-GTMC,6/8(0)
0,22 Jan 2010,"Off Sand Point, AlaskaAlaska Central Express",Beechcraft 1900C-1N112AX,2/2(0)
1,25 Jan 2010,"Off Na'ameh, LebanonEthiopian Airlines",Boeing 737-8ASET-ANB,90/90(0)
2,25 Jan 2010,"Near Senador Jose Porfírio, BrazilPiquiatuba Taxi Aereo",Embraer EMB-110C BandeirantePT-TAF,2/10(0)
3,28 Jan 2010,"Cotabato City, PhilippinesMilitary - Philippine Air Force",GAF N22B Nomad18,8/8(1)
4,14 Feb 2010,"Near Saada, YemenMilitary - Yemeni Arm",Helicopter?,11/11(2)
5,10 Apr 2010,"Smolensk, RussiaMilitary - Polish Air Force",Tupolev 154M101,96/96(0)
6,10 Apr 2010,"Near Yelizovo, RussiaKamchatka Airlines",Mi-8?,10/18(?)
7,13 Apr 2010,"Monterey, MexicoAirborne Freight Company Union",Airbus A300B4-203FXA-TUE,5/5(2)
8,21 Apr 2010,"Pampanga, PhilippinesInterisland Airlines",Antonov An-12BPUP-AN216,3/6(0)
9,12 May 2010,"Tripoli, LibyaAfriqiyah Airways",Airbus A330-2025A-ONG,103/104(0)
10,15 May 2010,"Near Poeketi, SurinameBlue Wings Airlines",Antonv An-28PZ-TSV,8/8(0)
11,17 May 2010,"Salang pass, AfghanistanPamir Airlines",Antonv An-24BYA-PIS,44/44(0)
12,22 May 2010,"Mangalore, IndiaAir India Express",Boeing 737-8HGVT-AXV,159/166(0)
13,19 Jun 2010,"Yangadou, CameroonAero Service",CASA 212 AviocarTN-AFA,11/11(0)
14,23 Jun 2010,"Quebec, CanadaAéropro",Beechcraft A100 King AirC-FGIN,7/7(0)
15,05 Jul 2010,"Tuzla, RomaniaMilitary - Romainian Air Force",Antonov AN-253,12/14(0)
16,28 Jul 2010,"Islamabad, PakistanAirblue",Airbus A321-231AP-BJB,152/152(0)
17,28 Jul 2010,"Near Elmendorf AFB, AlaskaMilitary - US Air Force",McDonnell Douglas C-17A Globemaster III00-0173,4/4(0)
18,01 Aug 2010,"Near Denali National Park, AlaskaAll West Freight",Fairchild C-123KN709RR,3/3(0)
19,03 Aug 2010,"Igarka, RussiaKatekavia Airline",Antonov An-24 VRA-46524,12/15(0)
20,09 Aug 2010,"Near Dillingham, AlaskaGCI Communications Corp.",de Havilland Canada DH-3T OtterN455A,5/9(0)
21,16 Aug 2010,"San Andreas Island, ColombiaAIRES Colombia",Boeing B-737-73VHK-4882,2/131(0)
22,21 Aug 2010,"Off Kaminshak Bay, AlaskaBranch River Air Service",de Havilland Canada DHC-2 BeaverN9313Z,4/4(0)
23,24 Aug 2010,"Bastipur, NepalAgni Air",Dornier 228-1019NAHE,14/14(0)
24,24 Aug 2010,"Yichun, ChinaHenan Airlines",Embraer ERJ-190-100LRB-3130,44/96(0)
25,25 Aug 2010,"Bandundu, Congo Democratic RepublicFilair",Let 410UVP-E9Q-CCN,19/20(0)
26,27 Aug 2010,"Buena Vista, VenezuelaMilitary - Venezuelan National Guard",Mi 17V-5GN10139,10/10(0)
27,03 Sep 2010,"Dubai, United Arab EmiratesUnited Parcel Service- UPS",Boeing B747-44AFN571UP,2/2(0)
28,04 Sep 2010,Fox Glacier AirstripSky Dive New Zealand,Fletcher FU-24-954ZK-EUF,9/9(0)
29,13 Sep 2010,"Puerto Ordaz, VenezuelaConviasa Airline",ATR 42-320YV-1010,17/51(0)
30,21 Sep 2010,"Chopan district, Zabul Province, AfghanistanInternational Security Assistance Force",Sikorsky UH-60 Black Hawk	93-26517,10/13(0)
31,06 Oct 2010,"Rasht Valley, Tajikistan	Military - Tajik National Guard",Mi-8?,28/28(0)
32,12 Oct 2010,"Near Kabul, AfghanistanNational Air Cargo",Lockheed L-100 Hercules5X-TUC,8/8(0)
33,21 Oct 2010,"Near Bugulumisa, CongoTracep",Let 410UVP9Q-CUA,2/2(0)
34,04 Nov 2010,"Near Guasimal, CubaAerocaribbean",ATR-72-212CU-T1549,68/68(0)
35,05 Nov 2010,"Near Karachi, PakistanJS Air",Beechcraft 1900C-1AP-BJD,21/21(0)
36,25 Nov 2010,"Strezhevoy, RussiaNARZ",Mil Mi-8TRA-22376,7/10(0)
37,28 Nov 2010,"Karachi, PakistanSun Way",Ilyushin Il-76TD4L-GNI,8/8(4)
38,04 Dec 2010,"Moscow, RussiaDagestan Airlines",Tupolev Tu-154MRA-85744,2/169(0)
39,15 Dec 2010,"Palunge Hill, NepalTara Air",de Havilland Canada DHC-6 Twin Otter9N-AFX,22/22(0)
0,01 Jan 2011,"Surgut, RussiaKogalmavia",Tupolev Tu-154B-2RA-85588,3/124(0)
1,09 Jan 2011,"Orumiyeh, IranIran Air",Boeing B-727-286EP-IRP,77/105(0)
2,08 Feb 2011,"Off Plettenberg Bay, South AfricaMajuba Aviation",Pilatus PC-12/47ZS-GAA,9/9(0)
3,10 Feb 2011,"Cork, IrelandManx2",Swearingen SA-227BC Metro IIIEC-ITP,6/12(0)
4,14 Feb 2011,"Near Santa Ana Francisco Morazan, HondurasCentral American Airways",Let L-410 UVPE-20HR-AUQ,14/14(0)
5,21 Mar 2011,"Pointe-Noire, CongoTrans Air Cargo",Antonov 12BPTN-AGK,9/9(14)
6,04 Apr 2011,"Kinshasa, CongoUnited Nations",Canadair CL-600 CRJ-100ER4L-GAE,32/33(0)
7,19 Apr 2011,"Tawang, India	Pawan Hans Helicopters Ltd.",Mil Mi-172	VT-PHF,18/23(0)
8,21 Apr 2011,"Manaus, Brazil	AmazonavesAir Taxi",Embraer/Piper EMB-810C SenecaPT-EFS,7/7(0)
9,07 May 2011,"Off Kaimana, IndonesiaMerpati Nusantara Airlines",Xian MA-60PK-MZK,27/27(0)
10,18 May 2011,"Near Prahuaniyeu, ArgentinaSOL Lineas Aereas",Saab 340ALV-CEJ,22/22(0)
11,20 Jun 2011,"Petrozavodsk, RussiaRusAir Airlines",Tupolev Tu-134RA-65691,47/52(0)
12,06 Jul 2011,"Near Bagram Air Base, AfghanistanSilk Way Airlines",Ilyushin76TD4K-AZ55,9/9(0)
13,08 Jul 2011,"Kisangani, CongoHewa Bora Airways",Boeing B-727-1009Q-COP,77/115(0)
14,11 Jul 2011,"Near Strezhevoy, RussiaAngara Airlines",Antonov An-24RVRA-47302,7/37(0)
15,13 Jul 2011,"Recife, BrazilNOAR Linhas Aéreas",Let L-401UVP-20PR-NOB,16/16(0)
16,26 Jul 2011,"Near Guelmim, MoroccoMilitary - Royal Moroccan Air Force",Lockheed C-130 HerculeCNA-OQ,80/80(0)
17,28 Jul 2011,"Off Jeju, South KoreanAsiana Airlines",Boeing B-747-48EFHL-7604,2/2(0)
18,06 Aug 2011,"Tangi Valley, AfghanistanMilitary - U.S. Army",Boeing CH-47 Chinook?,38/38(0)
19,09 Aug 2011,"Near Omsukchan, RussiaAvis Amur",Antonov 12RA-11125,11/11(0)
20,20 Aug 2011,"Resolute Bay, Nunavut, CanadaFirst Air",Boeing B-737-210C(A) CombiC-GNWN,12/15(0)
21,26 Aug 2011,"Mosby, MissouriLifeNet",Eurocopter AS350B2N352LN,4/4(0)
22,02 Sep 2011,"Juan Fernandez Island, ChileChilean Air Force",CASA C-212 Aviocar 300DF966,21/21(0)
23,06 Sep 2011,"Near Trinidad, BoliviaAerocon",Swearingen SA-227BC Metroliner IIICP-2548,8/9(0)
24,07 Sep 2011,"Yaroslavl, RussiaYAK Service",Yakovlev 42DRA-42434,44/45(0)
25,14 Sep 2011,"Huambo, AngolaMilitary - FANA Forca Aerea Nacional Angolana",Embraer 120ER BrasiliaT-500,30/36(0)
26,16 Sep 2011,"Reno, NevadaPrivate - Aero Trans Corp",North American P-51D-15-NA MustangN79111,1/1(10)
27,22 Sep 2011,"Yellowknife, Northwest Territories, CanadaArctic Sunwest Charters",De Havilland Canada DHC-6-300 Twin OtterC-GARW,2/9(0)
28,25 Sep 2011,"Near Kathmandu, NepalBuddha Air",Beechcraft 1900D9N-AEK,19/19(0)
29,29 Sep 2011,"Near Bohorok, IndonesiaNusantara Buana Air",CASA NC-212 Aviocar 200PK-TLF,18/18(0)
30,13 Oct 2011,"Near Madang, Papua New GuineaAirline PNG",de Havilland Canada DHC-8-102P2-MCJ,28/32(0)
31,27 Oct 2011,"Vancouver, BC, CanadaNorthern Thunderbird Air Inc.",Beechcraft 100 King AirC-GXRX,1/9(0)
32,10 Nov 2011,"Near Kilohana, Molokai, HawaiiBlue Hawaiian Helicopter",Eurocopter EC-130 B4N11QV,5/5(0)
33,11 Nov 2011,"Near Santa Catarina Atoyzingo, MexicoFuerza Aerea Mexicana",Aerospatiale AS 332L1 Super PumaXC-UHM,8/8(0)
34,07 Dec 2011,"Near Henderson, NevadaSundance Helicopters Inc.",Aerospatiale AS-350 B2 EcureuilN37SH,5/5(0)
35,26 Dec 2011,"Green Grove, Florida?",Bell 206BN5016M,3/3(0)
0,30 Jan 2012,"Namoya, CongoTRACEP Congo Aviation",Antonov AN-289Q-CUN,3/5(0)
1,15 Mar 2012,"Near San Juan, Puerto RicoJet One Express",Convair CV-340N153JR,2/2(0)
2,16 Mar 2012,"Kabul, AfghanistanMilitary - Turkish Army (NATO)",Sikorsky S-70A-2810981,12/12(4)
3,02 Apr 2012,"Tyumen, RussiaUTAir",ATR 72-201VP-BYZ,33/43(0)
4,20 Apr 2012,"Islamabad, PakistanBhoja Airlines",Boeing 737-236AP-BKC,127/127(0)
5,30 Apr 2012,"Sabanagrande, ColombiaMilitary -Fuerza Aerea Colombiana",Bell 212FAC 4020,13/13(0)
6,09 May 2012,"Near Cidahu, IndonesiaSukhoi",Sukhoi Superjet 100-95RA-97004,45/45(0)
7,14 May 2012,"Jomsom, NepalAgni Air",Dornier 228-2129N-AIG,15/21(0)
8,02 Jun 2012,"Accra, GhanaAllied Air",Boeing B-727-2005N-BJN,0/4(12)
9,03 Jun 2012,"Lagos, NigeriaDana Air",McDonnell Douglas MD-835N-RAM,153/153(10)
10,06 Jun 2012,"Hualla Hualla, Mount Mamarosa, Peru HeliCusco",Sikorsly S-58ETOB-1840-P,14/14(0)
11,11 Jun 2012,"Near Serov, RussiaIllegal flight",Antonov An-2RRA-40312,13/13(0)
12,21 Jun 2012,"Jakarta, IndonesiaMilitary - Indonesian Air Force",Fokker F-27 Friendship 400MA-2708,7/7(4)
13,18 Aug 2012,"Off Masbate Island, PhilippinesAviatour's Fly'n Inc.",PA-34-200 Seneca IRP-C4431,3/4(0)
14,19 Aug 2012,"Talodi, SudanAlfa Airlines",Antonov An-26-100ST-ARL,32/32(0)
15,12 Sep 2012,"Near Palana, RussiaPetropavlovsk-Kamchatsky Air Enteprise",Antonov An-28RA-28715,10/14(0)
16,28 Sep 2012,"Kathmandu, NepalSita Air",Dornier 228-2029N-AHA,19/19(0)
17,07 Oct 2012,"Near Omdurman, SudanMilitary - Sudanese Air Force",Antonov An-12BPST-ASA,15/22(0)
18,07 Oct 2012,AntiguaFly Montserrat,Britten-Norman BN-2A-26 IslanderVP-MO,3/4(0)
19,21 Nov 2012,"San'a, YemenMilitary - Yemen Air Force",Antonov An-26420,10/10(0)
20,30 Nov 2012,"Near Brazzaville, CongoAero Service",Ilysushin Il-76TEK-76300,7/7(25)
21,05 Dec 2012,"Near Ladysmith, South AfricaMilitary - South African Air Force",Douglas C47-TP6840,11/11(0)
22,09 Dec 2012,"Near Iturbide, MexicoStarwood Management LLC",Learjet 25N345MC,7/7(0)
23,25 Dec 2012,"Near Shymkent, KazakhstanMilitary - Kazakhstan Border Guards",Antonov AN-72-100DUN-72859,27/27(0)
24,25 Dec 2012,"Heho, MyanmarAir Bagan",Fokker 100XY-AGC,1/71(1)
25,29 Dec 2012,"Moscow, RussiaRed Wings Airlines",Tupolev TU-204-100V RA-64047,5/8(0)
0,02 Jan 2013,"Near Clear Lake, IowaMed-Trans Corporaion",Bell 407N445MT,3/3(0)
1,04 Jan 2013,"Off Los Roques, VenezuelaTransaereo 5074",Britten Norman BN-2A-27 IslanderYV-2615,6/6(0)
2,29 Jan 2013,"Near Kyzyltu, KazakhstanSCAT Air",Canadair CRJ-200ERUP-CJ006,21/21(0)
3,13 Feb 2013,"Donetsk, UkraineSouth Airlines",Antonov AN-24RVUR-WRA,5/45(0)
4,04 Mar 2013,"Goma, CongoCompagnie Africaine d' Aviation (CAA)",Fokker 509Q-CBD,7/10(0)
5,08 Mar 2013,"Near Dillingham, AlaskaAce Air Cargo",Beechcraft 1900CN116AX,2/2(0)
6,13 Apr 2013,"Denpasar, IndonesiaLion Air",Boeing B-737-8GPPK-LKS,0/108(0)
7,29 Apr 2013,"Bagram Air Base, AfghanistanNational Air Cargo",Boeing B-747-428BCFN949CA,7/7(0)
8,31 May 2013,"Moosonee, OntarioOrnge Air Ambulance",Sikorsky S-76?,4/4(0)
9,25 Jun 2013,"Gaurikund, near Kedarnath, Uttarakhand State, India.Indian Air Force",MI 172 V5 helicopter?,20/20(0)
10,06 Jul 2013,"San Francisco, CaliforniaAsiana Airlines",Boeing B-777-28EERHL7742,3/307(0)
11,07 Jul 2013,"Soldotna, AlaksaRediske Air",de Havilland Canada DHC-3TN93PC,10/10(0)
12,09 Aug 2013,"Mogadishu, SomaliaMilitary - Ethiopian Air Force",Antonov An-12?,4/6(0)
13,14 Aug 2013,"Birmingham, AlabamaUnited Parcel Service",Airbus A300F-622RN155UP,2/2(0)
14,03 Oct 2013,"Lagos, NigeriaAssociated Aviation",Embraer 120RT Brasilia5N-BJY,16/20(0)
15,10 Oct 2013,"Kudat, MalaysiaMASwings",de Havilland Canada DHC-6 Twin Otter 3109M-MDM,2/16(0)
16,16 Oct 2013,"Near Pakse, LaosLao Airlines",ATR-72-50RDPL-34233,49/49(0)
17,03 Nov 2013,"Riberalta, BoliviaAerocon",Swearingen SA227-AC Metro IIICP-275,8/18(0)
18,09 Nov 2013,"Pujungan, Malinau district, BorneoMilitary - Indonesian Army",Mil- Mi-17B-5?,13/21(0)
19,10 Nov 2013,"Red Lake, Ontario, CanadaBearskin Airlines",Swearingen SA227-AC Metro IIC-FFZN,5/7(0)
20,17 Nov 2013,"Near Kazan, RussiaTararstan Airlilnes",Boeing 737-53AVQ-BBN,50/50(0)
21,29 Nov 2013,Glasgow ScotlandBond Air Services Ltd.,Eurocopter EC135 T2G-SPAO,3/3(5)
22,29 Nov 2013,"Bwabwata National Park, NambiaMozambique Airline",Embraer ERJ-190ARC9-EMC,33/33(0)
23,05 Dec 2013,"Near Cachimbo, BrazilHeringer Taxi Aero",Britten Norman BN-2A-3 IslanderPT-WMY,5/5(0)
24,26 Dec 2013,"Irkutsk, RussiaIrAvia",Antonov 1212162,9/9(0)
0,20 Jan 2014,Near Petreasa RomaniaScoala Superioara de Aviatie Civla,Britten Norman BN-2A-27 IslanderYR-BNP,2/7(0)
1,11 Feb 2014,"Near Ain Kercha, AlgeriaMilitary - Algerian Air Force",Lockheed C-130H-30 Hercules7T-WHM,76/77(0)
2,16 Feb 2014,"Sandhikhark, NepalNepal Airlines",de Havilland Canada DHC-6 Twin Otter 3009N-ABB,18/18(0)
3,21 Feb 2014,"Grombalia, TunisiaLibyan Air Cargo",Antonov 265A-DOW,11/11(0)
4,08 Mar 2014,South Indian OceanMalaysia Airlines,Boeing 777-2009M-MRO,239/239(0)
5,18 Mar 2014,"Seattle, WashingtonHelicopters Inc / KOMO TV",Urocopter AS350 B2N250FB,2/2(0)
6,19 Apr 2014,"Ramos Arizpe, MexicoLineas Aereas Comerciales",British Aerospace BAe 125-700A HawkerXA-UKR,8/8(0)
7,20 Apr 2014,"Jamijarvi, FinlandSuomen Urheiluilmailijat",Aerocomp Comp Air 8OH-XDZ,8/8(0)
8,08 May 2014,"Near San Vicente del Caguan, ColombiaAlisansa Colombia",Douglas DC-3CHK-4700,6/6(0)
9,17 May 2014,"Xiang Khouang province, LaosLaos Air Force",Antonov 74TK-300RDPL-34020,16/17(0)
10,14 Jun 2014,"Lugansk, UkraineMilitary - Ukraine Air Force",Ilyushin 76MD76777,49/49(0)
11,02 Jul 2014,"Near Nairobi, KenyaSkyward International Aviation",Fokker 505Y-CET,4/4(0)
12,07 Jul 2014,"Thach That district, VietnamMilitary - Vietnam People's Army Air Force",Mil Mi-171?,18/19(0)
13,17 Jul 2014,"Hrabove, UkraineMalaysia Airlines",Boeing 777-2H6ER9M-MRD,298/298(0)
14,23 Jul 2014,"Magong, TaiwanTransAsia Airways",ATR 72-500B-22810,48/58(0)
15,24 Jul 2014,"Aguelhok, MaliAir Algerie",Mc Donnell Douglas MD-83EC-LTV,116/116(0)
16,10 Aug 2014,"Tehran, IranSepahan Airlines",HESA Iran-140-100EP-GPA,39/48(0)
17,30 Aug 2014,"Tamanraset, AlgeriaUkraine Air Alliance",Antonov An-12BKUR-DWF,7/7(0)
18,31 Aug 2014,"Mwanza, TanzaniaSafari Express Cargo",Fokker F-27 MK 5005Y-SXP,3/3(0)
19,20 Sep 2014,"Near Port Moresby, Papua New GuineaHevlift",de Havilland Canada DHC-6 Twin Otter 300P2-KSV,4/9(0)
20,04 Oct 2014,"Wichita Falls, TexasAir Evac Lifeteam",Bell 206L?,2/4(0)
21,28 Dec 2014,"Near Uvira, CongoAir Sirin",Antonov An-264L-AFS,6/6(0)
22,28 Dec 2014,Java SeaAirAsia,Airbus A-320-216PK-AXC,162/162(0)
0,18 Jan 2015,"Near Abu adh Dhuhur Air Base, SyriaSyrian Air Force",Antonov An-26?,37/37(0)
1,04 Feb 2015,"Taipei, TaiwanTransasia",ATR 72-600B-22816,43/58(0)
2,10 Mar 2015,"Villa Castelli, ArgeninaPrivate",??,10/10(0)
3,24 Mar 2015,"Near Digne-Les-Bains, FranceGermanwings",Airbus A320-211D-AIPX,150/150(0)
4,25 Jun 2015,"Ella Lake, AlaskaPromech Air",de Havilland DHC-3T Vazar TurbineOtterN270PA,9/9(0)
5,30 Jun 2015,"Medan, IndonesiaMilitary - Indonesian Air Force",Lockheed C130-B HerculesA-1310,122/122(19)
6,31 Jul 2015,"Near Agustin Codazzi, ColombiaMilitary - Colombia Air Force",CASA CN-235-100FAC1261,11/11(0)
7,12 Aug 2015,"Ninia, IndonesiaKomala Air",Pacific AerospacePK-KIG,1/6(0)
8,16 Aug 2015,"Tangok mountain, PapuaTrigana Air Service",ATR 42-300PK-YRN,54/54(0)
9,05 Sep 2015,"Off Dakar, Near Dioubel, SenegalSenegalair",Hawker Siddeley HS-1256V-AIM,7/7(0)
10,15 Sep 2015,"Iliamna East Wind Lake, AlaskaRainbow King Lodge",de Havilland Canada DHC 3T Turbine OtterN928PK,3/7(0)
11,02 Oct 2015,"Jalalabad, AfghanistanMilitary - U.S. Army",Lockheed C-130J Hercules08-3174,11/11(2)
12,02 Oct 2015,"Near Masamba, IndonesiaAvistar Mandari",de Havilland DHC-6 Twin Otter PK-BRM,10/10(0)
13,31 Oct 2015,"Near Ilaga, IndonesiaTrigana Air Service",de Havilland DCH-4T CaribouPK-SWW,4/4(0)
14,31 Oct 2015,"Near Hasna, EgyptMetrojet",Airbus A321-231EI-ETJ,224/224(0)
15,04 Nov 2015,"Juba, South SudanAllied Services Limited",Antonov 12BKEY-406,41/43(0)
16,21 Nov 2015,"Fox Glacier, South Valley, New ZealandAlpine Adventures",Aerospatiale AS 350B2 EcureuilZK-HKU,7/7(0)
17,24 Nov 2015,"Near Igarka, RussiaTuruhan Avia",Mil MI-8TRA-2561,15/26(0)
0,08 Jan 2016,"Akkajaure Lake, Norrbotten, SwedenWest Air Sweden",Canadair CRJ-200SE-DUX,2/2(0)
1,02 Feb 2016,"Near Mogadishu, SomaliaDaallo Airlines",Airbus A321-111SX-BHS,1/72(0)
2,24 Feb 2016,"Dana, NepalTara Air",de Havilland DHC-6 Twin Otter 4009N-AHH,23/23(0)
3,26 Feb 2016,"250 miles northwest of Kathmandu, NepalKasthamandap Airlines",PAC 750XL9N-AJB,2/11(0)
4,09 Mar 2016,"Cox's Bazar, BangladeshTrue Aviation Ltd.",Antonov AN-26 S2-AGZ,3/4(0)
5,15 Mar 2016,"Fatima Pastaza, EcuadorMilitary - Ecuador Army",IAI Attava 201 E-206,22/22(0)
6,19 Mar 2016,"Rostov-on-Don, RussiaFlydubai",Boeing 737-8KN (WL)A6-FDN,62/62(0)
7,29 Mar 2016,"Magdelen Islands, Quebec, CanadaMarquise Aviation Corp.",Mitsubishi MU-2B 60 MarquiseN246W,7/7(0)
8,04 Apr 2016,"Near Pigeon Forge, TennesseeSmoky Mountain Helicopters",Bell 206LN16760,5/5(0)
9,13 Apr 2016,"Kiunga, Papua New GuineaSunbird Aviation",Britten-Norman IslanderP2-SBC,12/12(0)
10,29 Apr 2016,"Sorta, Norway	CHC Helikopter Service",Eurocopter EC225LP Super Puma M2+ LN-OJF,13/13(0)
11,19 May 2016,175 miles off the Egyptian coastEgyptAir,Airbus A320-232SU-GCC,66/66(0)
12,22 Jul 2016,"Bay of Bengal, Indian OceanIndian Air Force",Antonov 32K2743,29/29(0)
13,30 Jul 2016,"Near Lockhart, TexasHeart of Texas Hot Air Balloon Rides",Kubicek BB85Z Hot Air BalloonN2469L,16/16(?)
14,05 Aug 2016,"Dubai, United Arab EmiratesEmirates",Boeing 777-31HA6-EMW,0/300(1)
15,31 Aug 2016,"Russian Mission, AlaksaHageland Aviiation",Cessna 208 Grand Caravan	N752RV,5/5(0)
16,24 Oct 2016,Malta International AirportAE Aviation,Swearingen SA277-AT ExpditerN577MX,5/5(0)
17,28 Nov 2016,"Near La Union, ColombiaLAMIA Bolivia",Avro RJ-85CP-2933,71/77(0)
18,03 Dec 2016,"Near Tanjung Pinanga, IndonesiaIndonesian Police",M28 SkytruckP-4201,13/13(0)
19,07 Dec 2016,"Near Havlien, PakistanPakistan International Airlines",ATR-42-500AP-BHO,48/48(0)
20,18 Dec 2016,"Near Wamena, Papua, IndonesiaIndonesian Air Force",Lockheed C-130H Hercules A-1134,13/13(0)
21,20 Dec 2016,"Puerto Carreno, ColombiaAerosucre Colombia",Boeing 727-2JOFHK-4544,5/6(0)
22,25 Dec 2016,"Near Adar, RussiaRussian Air Force",Tupolev 154B-2RA-85572,92/92(0)
0,16 Jan 2017,"Bishkek, KyrgyzstanMy Cargo Airlines (ACT Airlines)",Boeing 747-412FTC-MCL,4/4(35)
1,21 Feb 2017,"Melbourne, Victoria, AustraliaAustralian Corporate Jet Centres PTY. LTD",Beechcraft B200 Super King AirVH-ZCR,5/5(0)
2,10 Mar 2017,"Istanbul, TurkeySwan Aviation",Sikorsky S-76CTC-HEZ,7/7(0)
3,27 Mar 2017,"Mautaer, ZimbabweETA Air Charter",Britten-Norman BN2 IslanderC9-AOV,6/6(0)
4,05 May 2017,"Charleston, West VirginiaAir Cargo Carriers",Shorts 300-200N334AC,2/2(0)
5,27 May 2017,"Tenzing, NepalSummit Air",Let L-410UVP-E209N-AKY,2/3(0)
6,07 Jun 2017,"Off Dawei, MyanmarMilitary - Myanmar Air Force",Shaanxi Y-8F-200W5820,122/122(0)
7,28 Jun 2017,"Mount Gambier, South AustraliaAngel Flight",Socata TB1-10 TobagoVH-YTM,3/3(0)
8,10 Jul 2017,"Near Itta Bena, MississipiUSMC",Lockheed KC-130T Hercules165000,16/16(0)
